# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
2.231073 -8.331122 0.840779 4.627535 -0.180946 0.116371 0.023186
2.241176 -8.349315 1.038304 4.723698 -0.179248 0.103760 0.021246
2.251289 -8.632607 1.194244 4.684713 -0.178035 0.123161 0.014213
2.261537 -8.733968 1.324195 4.687312 -0.170760 0.153475 -0.005673
2.271672 -8.804142 1.344987 4.786074 -0.174883 0.203917 -0.027014
2.281795 -8.986072 1.532116 4.635332 -0.171003 0.243689 -0.051507
2.291919 -9.121221 1.882982 4.905629 -0.161787 0.283460 -0.060480
2.302034 -9.199191 1.989541 5.038178 -0.158635 0.314987 -0.077698
2.312162 -9.214785 1.989541 4.903030 -0.179005 0.351121 -0.103162
2.322270 -8.934092 1.940160 4.918624 -0.167607 0.362034 -0.129110
2.332391 -8.666394 2.023328 4.957609 -0.163485 0.371492 -0.160152
2.342533 -8.351914 2.007734 4.856248 -0.147722 0.368581 -0.196528
2.352669 -8.118003 2.163675 4.838054 -0.115710 0.364459 -0.209624
2.362759 -7.930875 2.176670 4.702906 -0.078606 0.343118 -0.219567
2.372876 -8.053028 2.506744 4.897832 -0.031317 0.303589 -0.227085
2.383000 -8.175181 2.478155 5.040777 0.023005 0.238111 -0.239210
2.393109 -8.377904 2.628897 5.196718 0.053562 0.180879 -0.251578
2.403250 -8.370107 2.301422 5.394242 0.076600 0.132862 -0.275829
2.413487 -8.515652 2.135086 5.474812 0.069082 0.116856 -0.288197
2.423597 -8.510454 2.231249 5.516396 0.082663 0.084360 -0.288197
2.433712 -9.051047 2.075308 5.687930 0.072963 0.077084 -0.272434
2.443818 -9.173201 1.607487 5.669737 0.036829 0.044830 -0.264431
2.453948 -9.433102 1.116274 5.999811 -0.007308 0.042163 -0.248183
2.464233 -9.404512 0.593873 5.981618 -0.077879 0.039253 -0.259823
2.474343 -9.604636 0.437933 6.280504 -0.141174 0.020822 -0.254973
2.484456 -9.726790 -0.243007 6.179143 -0.228963 -0.018950 -0.283347
2.494564 -9.848943 -0.705631 6.064786 -0.327907 0.003604 -0.299110
2.504669 -9.768374 -1.051299 6.436445 -0.400417 0.072234 -0.286257
2.514788 -9.108226 -1.337190 6.225925 -0.467592 0.111521 -0.271464
2.524915 -8.752161 -1.623081 5.828277 -0.521430 0.153232 -0.231450
2.535040 -8.484463 -1.859591 5.381247 -0.581087 0.175786 -0.194588
2.545160 -8.105008 -1.545111 5.191520 -0.624254 0.164630 -0.145116
2.555268 -7.832112 -1.311200 5.240901 -0.668391 0.106913 -0.097099
2.565393 -7.912682 -1.643873 4.903030 -0.730473 0.031492 -0.089824
2.575604 -7.977657 -1.547710 4.999193 -0.789888 0.011364 -0.090551
2.585720 -7.980256 -1.222834 4.864045 -0.842756 0.006756 -0.091764
2.595829 -8.115404 -0.952537 5.095356 -0.887862 -0.031560 -0.106800
2.605959 -8.419488 -1.126670 5.134341 -0.905566 -0.103343 -0.151421
2.616086 -8.845726 -1.077289 5.194119 -0.914781 -0.122017 -0.189980
2.626200 -9.219983 -1.027908 5.672336 -0.889560 -0.098008 -0.189738
2.636306 -9.539661 -1.178650 5.448821 -0.875979 -0.043928 -0.193376
2.646431 -9.370725 -1.230631 5.544985 -0.823597 -0.000519 -0.166214
2.656558 -9.422706 -1.578898 5.415034 -0.775823 0.050651 -0.124260
2.666785 -9.232978 -1.781620 5.207114 -0.721743 0.080964 -0.083761
2.677155 -9.019859 -2.038922 4.851049 -0.677606 0.095030 -0.047142
2.687303 -8.908102 -2.244244 4.741891 -0.638562 0.101578 -0.015373
2.697441 -8.694983 -1.979145 4.752287 -0.596850 0.086300 0.001360
2.707586 -8.591023 -1.927165 4.440406 -0.579390 0.048711 -0.012463
2.717692 -8.614414 -1.420358 4.559961 -0.543256 0.017427 -0.009310
2.727801 -8.819736 -1.142264 4.372832 -0.501301 -0.009977 -0.010038
2.737951 -9.058844 -0.845977 4.175307 -0.430246 -0.005369 -0.004945
2.748098 -9.162805 -0.853774 4.229886 -0.353613 -0.002702 -0.008825
2.758681 -9.284958 -0.864170 4.307857 -0.287165 0.021307 -0.007613
2.768844 -9.466889 -0.731621 4.372832 -0.235268 0.062776 -0.003490
2.778986 -9.370725 -0.684839 4.432609 -0.165182 0.088725 -0.000095
2.789113 -9.227780 -0.718626 4.513178 -0.107222 0.120736 -0.000095
2.799220 -9.092631 -0.926547 4.520975 -0.049505 0.160750 0.003785
2.809317 -8.775552 -1.194244 4.060951 -0.008278 0.188639 0.004998
2.819992 -8.354513 -1.446348 4.068748 0.038284 0.209495 0.030946
2.830077 -8.058226 -1.869987 4.011570 0.059625 0.236413 0.057622
2.840184 -7.748944 -1.958353 4.021966 0.067385 0.262119 0.109519
2.850309 -7.704761 -2.025927 3.665902 0.053077 0.286128 0.168449
2.860437 -7.450058 -2.038922 3.754268 0.046771 0.284673 0.230532
2.870574 -7.426667 -2.031125 3.704887 0.022520 0.269880 0.296495
2.880709 -7.234340 -2.415778 3.806248 -0.013129 0.235443 0.332871
2.890854 -7.197954 -2.566521 3.879020 -0.008521 0.188154 0.366580
2.900995 -7.512434 -2.335209 3.756867 0.008697 0.131407 0.398834
2.911131 -8.198573 -1.688056 4.032362 0.081693 0.036343 0.446609
2.921241 -9.269364 -1.066893 4.339045 0.194945 -0.118136 0.438363
2.931329 -10.670230 -0.276794 5.077163 0.307955 -0.252972 0.426723
2.941448 -11.782605 0.370359 5.986816 0.355972 -0.324755 0.409019
2.951643 -12.260823 0.791398 6.860083 0.324931 -0.338336 0.361973
2.961751 -11.935947 1.228032 7.390281 0.243205 -0.270675 0.291887
2.971866 -11.112061 1.334591 7.338301 0.122677 -0.154998 0.164327
2.982004 -10.046468 1.282611 6.771717 0.046771 0.011849 0.049620
2.992130 -9.144612 0.747215 5.916643 0.024703 0.178696 -0.054660
3.002310 -8.515652 0.318379 5.220109 0.018155 0.315957 -0.120138
3.012442 -7.839909 0.159839 4.780876 0.035616 0.371006 -0.141478
3.022574 -7.161568 0.209220 4.133723 0.071993 0.336328 -0.134203
3.032712 -6.823697 0.029889 3.866025 0.122920 0.234231 -0.122078
3.042851 -6.792509 -0.118255 3.686694 0.193975 0.127526 -0.077941
3.052966 -7.210949 -0.097463 3.590530 0.257028 0.048953 -0.033561
3.063075 -7.629390 -0.167636 3.811446 0.308682 -0.054114 0.014456
3.073207 -8.208969 -0.409344 3.798451 0.333661 -0.147480 0.025854
3.083334 -8.578028 -0.510705 4.240282 0.349909 -0.219021 0.022943
3.093468 -9.066641 -0.458725 4.630134 0.342149 -0.245697 0.024156
3.103615 -9.360329 -0.450928 5.105752 0.340209 -0.241331 0.027066
3.113750 -9.310948 -0.677042 5.373450 0.322990 -0.243029 0.000875
3.123885 -9.349933 -0.635458 5.581371 0.287584 -0.201560 -0.002520
3.134105 -9.464290 -0.476918 5.583970 0.211678 -0.123472 0.010575
3.144304 -9.323943 -0.318379 5.646346 0.134075 -0.046353 0.033129
3.154427 -9.318745 -0.224814 5.526792 0.063262 0.008939 0.045012
3.164575 -9.248572 -0.089666 5.542386 0.012335 0.023247 0.041132
3.174721 -9.131617 -0.027290 5.493005 -0.040775 -0.000276 0.019306
3.184875 -9.100428 0.154641 5.233104 -0.084912 -0.011189 0.005725
3.194995 -9.056245 0.201423 5.019985 -0.115468 -0.012644 -0.018526
3.205135 -8.949686 0.385953 5.079762 -0.120803 -0.007552 -0.032106
3.215282 -8.936691 0.430136 4.757485 -0.120318 -0.006582 -0.041807
3.225494 -8.710577 0.552289 4.955010 -0.079334 -0.007794 -0.028226
3.235641 -8.650800 0.541893 4.708104 -0.057508 -0.003187 -0.043504
3.245777 -8.552038 0.430136 4.780876 -0.011431 -0.001732 -0.043504
3.255910 -8.598820 0.222215 4.430010 0.018640 -0.008522 -0.039139
3.266035 -8.606617 0.268997 4.500183 0.057684 -0.012402 -0.023619
3.276140 -8.596221 0.048082 4.461198 0.084361 -0.023072 -0.023619
3.286263 -8.648201 0.094864 4.552164 0.110309 -0.031318 -0.012706
3.296378 -8.949686 0.079270 4.598946 0.119039 -0.011189 -0.002763
3.306494 -8.999067 0.006498 4.585951 0.112734 -0.001004 -0.005188
3.316617 -8.980874 -0.037686 4.806866 0.114917 0.005301 0.004270
3.326755 -8.928894 -0.136448 4.905629 0.104246 -0.003187 -0.007855
3.336871 -9.058844 -0.003899 5.019985 0.085088 0.014759 -0.005188
3.346980 -9.051047 -0.053280 4.741891 0.060837 0.016699 -0.021436
3.357120 -8.970478 0.006498 5.027782 0.057927 0.015972 -0.014403
3.367258 -8.996468 0.079270 4.887436 0.039254 0.019609 -0.024104
3.377398 -8.778151 -0.126052 4.773079 0.014518 0.001906 -0.045202
3.387544 -8.749562 -0.029889 4.983599 -0.000275 -0.004399 -0.046414
3.397689 -8.793745 0.027290 5.030381 -0.007066 -0.011189 -0.043747
3.407805 -8.811939 0.159839 5.071965 -0.026952 -0.000761 -0.050780
3.417917 -8.837929 0.120854 5.134341 -0.013129 -0.003429 -0.038897
3.428051 -8.918498 0.113057 5.090158 0.000695 -0.003429 -0.031864
3.438190 -8.908102 0.230012 5.048574 0.022035 -0.001004 -0.021921
3.448324 -8.939290 0.152042 4.905629 0.034161 0.007484 -0.020708
3.458457 -8.824934 0.029889 4.957609 0.059382 0.001906 -0.026529
3.468586 -8.983473 0.032488 4.993995 0.079995 0.010879 -0.019011
3.478819 -8.785948 -0.011696 4.921223 0.088726 0.007726 -0.024346
3.488994 -8.749562 -0.068874 4.747089 0.099881 0.012334 -0.026771
3.499121 -8.817137 -0.107859 4.900431 0.101579 0.014517 -0.028226
3.509269 -9.009463 -0.131250 4.762683 0.085573 0.027127 -0.025559
3.519404 -8.707978 -0.326176 4.812064 0.087756 0.006029 -0.034046
3.529540 -8.913300 -0.354765 4.845851 0.059139 0.015729 -0.032106
3.539669 -8.999067 -0.294987 4.832856 0.053077 0.006271 -0.033076
3.549776 -8.895107 -0.274195 4.965406 0.043619 0.012819 -0.030166
3.559873 -8.806741 -0.276794 4.929020 0.034403 0.011607 -0.034531
3.569993 -8.819736 -0.243007 5.038178 0.025431 0.017912 -0.021921
3.580113 -8.746963 -0.245606 4.936817 0.015245 0.008939 -0.030166
3.590249 -8.926295 -0.094864 4.939416 -0.010946 0.026157 -0.016343
3.600388 -8.876914 -0.235210 4.835455 -0.029619 0.020094 -0.022163
3.610491 -8.788547 -0.258601 5.155133 -0.032044 0.009909 -0.017798
3.620618 -8.804142 -0.165037 4.993995 -0.037622 0.004331 -0.016586
3.630763 -8.811939 -0.248205 4.983599 -0.039320 0.000694 -0.016828
3.640912 -8.757359 -0.359963 4.905629 -0.039077 -0.006582 -0.016101
3.651055 -9.019859 -0.178032 4.871842 -0.043927 0.006271 -0.009068
3.661186 -8.822335 -0.339171 4.955010 -0.035197 -0.007794 -0.012706
3.671312 -8.926295 -0.320978 4.957609 -0.035924 -0.000034 -0.005188
3.681568 -8.967879 -0.092265 5.162931 -0.035924 0.012577 0.007423
