# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
2.748319 -2.537932 9.542260 1.558106 -0.105486 0.536047 -0.493711
2.758509 -3.509961 9.524067 1.095482 -0.073232 0.707744 -0.402042
2.768636 -3.130506 9.409711 0.939542 -0.021578 0.925761 -0.350630
2.778743 -1.235829 9.297953 0.612067 0.030077 1.120012 -0.310131
2.788880 0.107859 8.921097 -0.003899 0.098707 1.132380 -0.295338
2.799030 0.614666 8.531246 0.240408 0.109863 0.964805 -0.251201
2.809159 0.302784 8.143993 0.310582 0.061361 0.789470 -0.211429
2.819297 0.061077 7.582607 0.783601 0.027652 0.651482 -0.150559
2.829425 -0.341770 6.938053 0.744616 -0.009937 0.604678 -0.084596
2.839532 0.357364 6.706742 0.765408 -0.052134 0.576789 -0.003355
2.849664 1.399566 6.524811 0.832982 -0.108881 0.515434 0.094619
2.859797 2.405382 6.774316 0.383354 -0.196912 0.384236 0.180952
2.869981 2.376793 6.813301 -0.016894 -0.229651 0.252553 0.293477
2.880139 1.376175 7.140776 1.181249 -0.259237 0.183923 0.435103
2.890272 3.198080 7.156370 5.599564 -0.505385 0.451169 0.683918
2.900389 6.771717 12.627283 -3.941396 -0.160051 0.484878 0.926913
2.910493 1.779021 10.238794 -2.067511 -0.091906 0.299115 0.965230
2.920635 -1.953155 12.362184 -0.622463 -0.325685 -0.071441 0.579639
2.930823 -4.047956 13.729263 2.995357 -0.534001 -0.341839 0.365502
2.940959 -1.056497 16.645350 0.217017 -0.037341 0.015863 0.286202
2.951077 1.285210 10.740403 -0.144245 -0.028368 0.276804 0.297842
2.961167 0.549690 9.783968 0.640656 -0.426327 0.014408 0.276016
2.971322 0.035087 10.056864 1.264418 -0.340963 0.015378 0.286444
2.981477 0.014295 9.804760 0.994121 -0.282276 -0.069015 0.286929
2.991615 0.497710 9.607235 1.287809 -0.299009 -0.098602 0.295660
3.001720 0.778403 9.461691 1.586695 -0.299979 -0.094964 0.321851
3.011945 0.219616 9.680007 1.734838 -0.251477 -0.107817 0.367443
3.022536 -0.175433 9.511072 1.469739 -0.206128 -0.077503 0.406729
3.033032 -0.346968 9.274562 1.098081 -0.183817 0.046662 0.437285
3.043156 -0.204022 9.196592 0.908353 -0.178482 0.188288 0.457899
3.053266 0.318379 8.871716 0.765408 -0.186242 0.231697 0.451109
3.063405 0.882363 9.126419 0.687438 -0.237169 0.203808 0.437528
3.073552 1.347586 9.485082 1.009715 -0.262875 0.087161 0.423947
3.083699 1.261819 9.711196 1.344987 -0.280336 -0.054222 0.400424
3.093870 1.066893 9.734587 1.721843 -0.271848 -0.184208 0.373748
3.104498 1.181249 9.945106 1.906373 -0.229651 -0.277089 0.352649
3.114615 1.300804 9.789166 1.890779 -0.207583 -0.317346 0.327671
3.124780 1.589294 9.388918 1.701051 -0.195215 -0.311283 0.274076
3.134921 1.207239 9.305750 1.656868 -0.188182 -0.266419 0.227757
3.145069 0.988923 9.576047 1.882982 -0.143560 -0.178145 0.175132
3.155212 1.157858 9.547458 1.745234 -0.111064 -0.063923 0.122992
3.165358 1.573700 9.669611 1.729640 -0.102091 0.013438 0.061152
3.175476 1.818006 9.768374 1.513922 -0.102091 0.009315 -0.028819
3.185587 1.443749 9.783968 1.383972 -0.097483 -0.007660 -0.090659
3.195709 1.191645 9.570849 1.394368 -0.083175 -0.030214 -0.135038
3.205833 0.897957 9.591641 1.409962 -0.087298 -0.017846 -0.155652
3.216018 0.869368 9.557854 1.584096 -0.093118 -0.005235 -0.175780
3.226170 0.986324 9.490280 1.745234 -0.069595 -0.004508 -0.177235
3.236297 0.887561 9.539661 1.706249 -0.073232 -0.007418 -0.169717
3.246416 0.461324 9.661814 1.846596 -0.066199 0.011740 -0.132371
3.256632 0.378156 9.570849 1.545111 -0.060622 0.029444 -0.108120
3.266945 0.411943 9.641022 1.690655 -0.053589 0.054665 -0.059375
3.277166 0.591274 9.482483 1.542512 -0.050679 0.062910 -0.030274
3.287310 0.695235 9.622829 1.630878 -0.064987 0.048117 0.002950
3.297407 0.734220 9.560453 1.568502 -0.056499 0.023381 0.022351
3.307512 0.747215 9.638423 1.682858 -0.045829 -0.005720 0.050967
3.317633 0.692636 9.700799 1.742635 -0.052861 -0.005963 0.070610
3.327775 0.890160 9.547458 1.576299 -0.035401 -0.008388 0.067943
3.337949 0.996720 9.547458 1.714046 -0.028368 -0.013481 0.070125
3.348086 1.020111 9.651418 1.714046 -0.022305 -0.020513 0.070125
3.358225 1.035705 9.672210 1.732239 -0.017697 -0.023424 0.053635
3.368371 1.090284 9.617631 1.695853 -0.007997 -0.019058 0.038841
3.378487 1.072091 9.516270 1.503526 -0.026185 -0.009600 0.010225
3.388586 1.064294 9.643621 1.677660 -0.016970 -0.019301 -0.010631
3.398698 0.931745 9.576047 1.649071 -0.010665 -0.017361 -0.024696
3.408828 0.975928 9.505874 1.513922 -0.024003 -0.021969 -0.047007
3.419105 0.858972 9.583844 1.693254 -0.019880 -0.035064 -0.054040
3.429223 0.879764 9.524067 1.867388 -0.011150 -0.034822 -0.066165
3.439336 0.905754 9.503275 1.706249 -0.006057 -0.018573 -0.062043
3.449475 0.877165 9.531864 1.667264 -0.011392 -0.007660 -0.064468
3.459609 0.949938 9.563052 1.807610 0.002673 0.004465 -0.057920
3.469753 0.674443 9.648819 1.716645 0.001703 0.005678 -0.049917
3.479870 0.570482 9.641022 1.649071 -0.000237 0.008345 -0.038762
3.489978 0.697834 9.547458 1.724442 0.006311 0.019986 -0.026151
3.500089 0.656250 9.635824 1.695853 0.008251 0.036234 -0.005780
3.510176 0.687438 9.612433 1.636076 0.014556 0.029929 0.002465
3.520296 0.817388 9.477285 1.513922 0.022074 0.021926 -0.002143
3.530528 0.757611 9.581245 1.524319 0.020862 0.029201 0.004162
3.540683 0.788799 9.635824 1.571101 0.030320 0.025321 0.010468
3.550811 0.897957 9.550057 1.641274 0.026439 0.014893 0.000767
3.560923 0.986324 9.656616 1.438551 0.006069 0.015863 -0.006023
3.571080 1.035705 9.464290 1.604888 0.002673 -0.016633 -0.023241
3.581190 0.848576 9.578646 1.576299 0.010919 -0.027546 -0.022271
3.591312 0.757611 9.651418 1.628279 0.007281 -0.023424 -0.019846
3.601426 0.786200 9.646220 1.724442 0.022317 -0.022454 -0.016936
3.611571 0.768007 9.503275 1.841398 0.024014 -0.014693 -0.017663
3.621710 0.775804 9.641022 1.740036 0.030562 0.005678 -0.006993
3.631829 0.903155 9.518869 1.641274 0.035170 0.009800 -0.009903
3.641938 0.682240 9.690403 1.586695 0.030077 0.035749 0.003192
3.652058 0.755012 9.594240 1.576299 0.033230 0.034051 0.001737
3.662184 0.768007 9.617631 1.651670 0.034685 0.035749 0.004647
3.672343 0.656250 9.633225 1.599690 0.031532 0.053452 0.011438
3.682476 0.955136 9.479884 1.633477 0.037837 0.039387 0.004162
3.692616 0.817388 9.524067 1.503526 0.031775 0.046904 0.007558
3.702724 0.731621 9.693002 1.490531 0.030805 0.053210 0.017743
3.712837 0.765408 9.472087 1.394368 0.021832 0.048117 0.007800
3.722995 0.869368 9.680007 1.532116 0.018679 0.042054 0.015318
3.733153 0.978527 9.498077 1.586695 0.019407 0.021683 -0.000688
3.743329 0.884962 9.617631 1.586695 0.006554 0.007860 -0.000930
3.753482 0.986324 9.560453 1.555507 0.017952 -0.023909 -0.014753
3.763623 0.747215 9.550057 1.594492 0.021832 -0.026334 -0.010631
3.773762 0.716027 9.453894 1.422957 0.021589 -0.004023 -0.003113
